X1,X2,Y,X3
2,15,140000,156
1,4,60000,156
2,9,110000,156
1,16,150000,36
2,4,60000,826
1,8,90000,36
2,20,180000,826
1,2,40000,36
2,9,120000,826
1,17,160000,826
2,5,70000,826
1,8,95000,36
2,21,180000,826
1,3,50000,840
2,11,95000,124
1,19,170000,124
2,1.5,35000,36
1,9,100000,124
2,15,150000,156
1,4,60000,124
2,8,85000,156
1,13,130000,124
1,4,65000,156
2,10,110000,36
1,21,180000,840
2,2,40000,36
1,7,90000,840
2,14,140000,826
1,4,60000,156
2,12,130000,36
1,16,160000,36
2,2,40000,36
1,9,100000,826
2,20,180000,840
1,3,55000,124
2,9,120000,124
1,16,150000,124
2,5,70000,826
1,8,95000,156
2,21,180000,156
1,3,50000,124
2,12,120000,36
1,19,170000,826
2,1.5,35000,36
1,9,100000,36
2,15,150000,36
1,4,60000,826
2,8,85000,124
1,13,130000,36
2,6,80000,124
1,8,95000,124
2,2,40000,826
1,10,120000,156
2,16,160000,124
1,4,65000,840
2,12,130000,124
1,20,180000,156
2,2,40000,36
1,9,100000,826
2,15,150000,840
1,3,55000,124
2,10,110000,156
1,21,180000,156
2,3,50000,156
1,12,130000,36
2,16,160000,36
1,4,60000,124
2,8,95000,156
1,19,170000,156
2,2,40000,826
1,7,90000,826
2,15,150000,826
1,5,70000,826
2,8,90000,36
1,18,170000,156
2,3,50000,826
1,14,150000,124
2,16,160000,124
1,4,60000,124
2,8,85000,124
1,19,180000,156
2,1,35000,124
1,8,110000,840
2,16,160000,156
1,3,55000,124
2,10,110000,124
1,21,180000,124
2,3,50000,124
1,12,130000,840
2,16,160000,826
1,4,60000,124
2,8,95000,826
1,19,170000,826
2,2,40000,36
1,7,90000,156
2,15,150000,826
1,5,70000,124
2,8,90000,156
1,18,170000,124
2,3,50000,124
1,14,150000,156
2,16,160000,36
1,4,60000,826
2,8,85000,156
1,19,170000,156
2,2,40000,840
1,7,90000,156
2,15,150000,826
1,6,160000,36
2,3,125000,124
1,2,120000,156
2,2,110000,826
1,5,180000,156
2,4,140000,36
1,7,170000,840
2,1,100000,156
1,8,190000,826
2,6,155000,826
1,3,130000,124
2,5,145000,840
1,2,115000,840
2,4,140000,840
1,9,185000,156
2,1,100000,36
1,8,190000,124
2,6,155000,826
1,3,130000,36
2,5,145000,36
1,3,125000,156
2,2,120000,840
1,2,110000,840
2,5,180000,156
1,4,140000,840
1,7,170000,156
2,1,100000,36
1,8,190000,124
2,6,155000,36
1,3,130000,124
2,5,145000,124
1,2,115000,826
2,4,140000,36
1,9,185000,124
2,1,100000,156
1,8,190000,826
2,6,155000,36
1,3,130000,124
2,5,145000,124
1,3,125000,36
2,2,120000,840
1,2,110000,36
2,5,180000,124
1,4,140000,36
1,7,170000,840
2,1,100000,124
1,8,190000,36
2,6,155000,156
1,3,130000,826
2,5,145000,156
1,2,115000,36
2,4,140000,156
1,9,185000,156
2,1,100000,156
1,8,190000,840
2,6,155000,36
1,3,130000,36
2,5,145000,36
1,3,125000,124
2,2,120000,826
1,2,110000,156
2,5,180000,840
1,4,140000,124
1,7,170000,156
2,1,100000,36
1,8,190000,840
2,6,155000,156
1,3,130000,840
2,5,145000,840
1,2,115000,156
2,4,140000,840
1,9,185000,156
2,1,100000,826
1,8,190000,826
2,6,155000,36
1,3,130000,840
2,5,145000,36
1,2,115000,156
2,4,140000,840
1,9,185000,826
2,1,100000,36
1,8,190000,156
2,6,155000,840
1,3,130000,124
2,5,145000,36
1,3,125000,36
2,2,120000,36
1,2,110000,36
2,5,180000,840
1,4,140000,840
1,7,170000,124
2,1,100000,826
1,8,190000,156
2,6,155000,840
1,3,130000,826
2,5,145000,36
1,2,115000,36
2,4,140000,156
1,9,185000,156
2,1,100000,124
1,8,190000,826
2,6,155000,826
1,3,130000,826
2,5,145000,156
1,2,115000,826
2,4,140000,156
1,9,185000,156
2,1,100000,826
1,8,190000,826
2,6,155000,156
1,3,130000,124
2,5,145000,840
1,2,115000,826
2,4,140000,840
1,9,185000,36
2,1,100000,36
1,8,190000,124
2,6,155000,36
1,3,130000,124
2,5,145000,156
1,2,115000,36
2,4,140000,156
1,9,185000,124
2,1,100000,156
1,8,190000,826
2,6,155000,840
1,3,130000,36
2,5,145000,840
1,2,115000,826
2,4,140000,124
1,9,185000,36
1,3,130000,36
2,6,180000,826
1,8,190000,36
2,4,150000,826
1,1,90000,156
2,9,195000,826
1,5,160000,156
2,11,198000,840
1,2,110000,840
2,7,185000,156
1,4,140000,826
2,12,196000,156
1,1,95000,156
2,10,193000,36
1,6,175000,36
2,5,160000,36
1,3,130000,124
2,6,180000,156
1,5,160000,840
2,11,198000,826
1,1,90000,156
2,7,185000,124
1,4,140000,124
2,12,196000,124
1,2,110000,156
2,6,180000,840
1,8,190000,36
2,4,150000,156
1,9,195000,156
2,5,160000,36
1,11,198000,826
2,3,130000,36
1,7,185000,840
2,4,140000,826
1,12,196000,156
2,2,110000,156
1,8,190000,826
2,6,180000,840
1,5,160000,840
2,11,198000,840
1,1,90000,840
2,9,195000,36
1,5,160000,36
2,4,150000,826
1,3,130000,124
2,6,180000,124
1,8,190000,156
2,11,198000,826
1,2,110000,36
2,7,185000,840
1,4,140000,156
2,12,196000,826
1,9,195000,124
2,5,160000,156
1,3,130000,36
2,6,180000,156
1,8,190000,36
2,11,198000,36
1,1,90000,156
1,4,140000,36
2,2,110000,36
2,7,185000,840
1,9,195000,826
2,5,160000,124
1,3,130000,124
2,6,180000,840
1,8,190000,36
2,11,198000,124
1,1,90000,826
1,4,140000,840
2,2,110000,840
2,7,185000,36
1,9,195000,156
2,5,160000,124
1,3,130000,826
2,6,180000,124
1,8,190000,156
2,11,198000,124
1,1,90000,156
1,4,140000,156
2,2,110000,840
2,7,185000,840
1,9,195000,826
2,5,160000,36
1,3,130000,36
2,6,180000,36
1,8,190000,36
2,11,198000,156
1,1,90000,124
1,4,140000,840
1,2,125000,826
2,6,175000,124
1,8,190000,826
2,4,150000,826
1,1,95000,826
1,9,195000,124
1,5,160000,840
2,11,198000,36
1,3,130000,124
2,7,185000,156
1,4,140000,36
2,12,196000,826
1,1,90000,124
2,10,193000,124
1,6,170000,840
2,5,160000,156
1,3,135000,124
2,6,180000,124
1,5,160000,826
2,11,198000,124
1,1,90000,36
2,7,185000,156
1,4,140000,36
2,12,196000,840
1,2,115000,156
2,6,180000,124
1,8,190000,156
2,4,150000,840
1,9,195000,826
2,5,160000,826
1,11,198000,826
2,3,130000,124
1,7,185000,826
2,4,140000,124
1,12,196000,156
2,2,110000,36
1,8,190000,124
2,6,180000,156
1,5,160000,156
2,11,198000,826
1,1,90000,124
2,9,195000,36
1,5,160000,124
2,4,150000,840
1,3,130000,124
2,6,180000,124
1,8,190000,826
2,11,198000,840
1,2,110000,826
2,7,185000,826
1,4,140000,124
2,12,196000,826
1,9,195000,156
2,5,160000,124
1,3,130000,156
2,6,180000,124
1,8,190000,124
2,11,198000,826
1,1,90000,156
1,4,140000,124
2,2,110000,826
2,7,185000,36
1,9,195000,840
2,5,160000,36
1,3,130000,36
2,6,180000,124
1,8,190000,826
2,11,198000,826
1,1,90000,124
1,4,140000,124
2,2,110000,36
2,7,185000,840
1,9,195000,156
2,5,160000,124
1,3,130000,156
2,6,180000,36
1,8,190000,840
2,11,198000,840
1,1,90000,36
1,4,140000,840
1,1,90000,840
2,4,150000,124
1,8,190000,156
2,3,125000,36
1,2,110000,156
1,7,180000,840
1,5,160000,826
2,10,195000,156
1,3,130000,826
2,6,170000,124
1,4,140000,840
2,11,196000,36
1,1,92000,124
2,9,195000,36
1,6,170000,826
2,5,160000,124
1,3,135000,826
2,6,180000,156
1,5,165000,124
2,11,198000,36
1,1,95000,826
2,7,185000,840
1,4,140000,840
2,12,196000,36
1,2,115000,840
2,6,180000,124
1,8,190000,124
2,4,150000,840
1,9,195000,840
2,5,160000,36
1,11,198000,156
2,3,130000,36
1,7,185000,826
2,4,140000,36
1,12,196000,124
2,2,110000,124
1,8,190000,36
2,6,180000,840
1,5,160000,826
2,11,198000,826
1,1,90000,156
2,9,195000,840
1,5,160000,124
2,4,150000,156
1,3,130000,840
2,6,180000,156
1,8,190000,840
2,11,198000,840
1,2,110000,36
2,7,185000,124
1,4,140000,840
2,12,196000,840
1,9,195000,124
2,5,160000,826
1,3,130000,36
2,6,180000,36
1,8,190000,826
2,11,198000,840
1,1,90000,36
1,4,140000,156
2,2,110000,36
2,7,185000,124
1,9,195000,124
2,5,160000,124
1,3,130000,840
2,6,180000,36
1,8,190000,840
2,11,198000,840
1,1,90000,36
1,4,140000,826
2,2,110000,36
2,7,185000,826
1,9,195000,826
2,5,160000,156
1,3,130000,156
2,6,180000,36
1,8,190000,826
2,11,198000,156
1,1,90000,156
1,4,140000,124
2,2,110000,124
2,7,185000,124
1,9,195000,840
2,5,160000,826
1,3,130000,124
2,6,180000,36
1,8,190000,826
2,11,198000,156
1,1,90000,156
1,4,140000,156
2,2,110000,36
2,7,185000,156
1,9,195000,124
2,5,160000,840
1,3,130000,124
2,6,180000,124
1,8,190000,124
2,11,198000,840
1,1,90000,36
1,4,140000,156
2,2,110000,840
2,7,185000,826
1,9,195000,840
2,5,160000,840
1,3,130000,36
2,6,180000,840
1,8,190000,36
2,11,198000,826
1,1,90000,826
1,4,140000,156
2,2,110000,826
2,7,185000,36
1,9,195000,36
2,5,160000,36
1,3,130000,840
2,6,180000,840
1,8,190000,826
2,11,198000,124
1,1,90000,156
1,4,140000,124
2,2,110000,840
2,7,185000,826
1,9,195000,124
2,5,160000,826
1,3,130000,156
2,6,180000,36
1,8,190000,826
2,11,198000,840
1,1,90000,156
1,4,140000,826
2,2,110000,840
2,7,185000,156
1,9,195000,840
2,5,160000,826
1,3,135000,36
1,8,190000,156
2,6,180000,826
1,5,160000,826
1,1,95000,36
2,11,196000,36
1,4,140000,826
1,3,130000,840
2,7,185000,826
1,9,195000,840
2,5,160000,826
2,3,130000,124
1,7,185000,36
2,4,150000,124
1,1,90000,826
1,11,198000,840
1,2,115000,840
1,5,165000,156
1,3,130000,840
2,6,180000,124
1,8,190000,826
2,11,198000,840
1,4,140000,156
2,6,180000,36
1,5,160000,156
1,1,92000,156
2,5,160000,156
1,3,130000,36
1,8,190000,156
2,11,198000,36
1,2,110000,840
2,7,185000,826
1,4,140000,156
2,12,196000,826
1,9,195000,36
2,5,160000,156
1,3,130000,156
2,6,180000,826
1,8,190000,156
2,11,198000,156
1,1,90000,156
1,4,140000,840
2,2,110000,840
2,7,185000,826
1,9,195000,826
2,5,160000,840
1,3,130000,826
2,6,180000,826
1,8,190000,36
2,11,198000,156
1,1,90000,840
1,4,140000,36
2,2,110000,826
2,7,185000,826
1,9,195000,36
2,5,160000,36
1,3,130000,156
2,6,180000,36
1,8,190000,124
2,11,198000,840
1,1,90000,156
1,4,140000,840
2,2,110000,826
2,7,185000,124
1,9,195000,36
2,5,160000,156
1,3,130000,826
2,6,180000,840
1,8,190000,826
2,11,198000,156
1,1,90000,156
1,4,140000,124
2,2,110000,124
2,7,185000,124
1,9,195000,124
2,5,160000,840
1,3,130000,36
2,6,180000,36
1,8,190000,840
2,11,198000,156
1,1,90000,36
1,4,140000,156
2,2,110000,156
2,7,185000,826
1,9,195000,840
2,5,160000,826
1,3,130000,826
2,6,180000,36
1,8,190000,156
2,11,198000,840
1,1,90000,826
1,4,140000,36
2,2,110000,124
2,7,185000,124
1,9,195000,840
2,5,160000,840
1,3,130000,156
2,6,180000,124
1,8,190000,840
2,11,198000,124
1,1,90000,36
1,4,140000,826
2,2,110000,36
2,7,185000,124
1,9,195000,156
2,5,160000,124
1,3,130000,124
2,6,180000,124
1,8,190000,36
2,11,198000,124
1,1,90000,124
1,4,140000,826
2,2,110000,36
2,7,185000,826
1,9,195000,826
2,5,160000,124
1,3,130000,36
2,6,180000,840
1,8,190000,124
2,11,198000,124
1,1,90000,156
1,4,140000,826
2,2,110000,156
2,7,185000,840
1,9,195000,826
2,5,160000,826
1,3,130000,124
2,6,180000,840
1,8,190000,840
2,11,198000,124
1,1,90000,36
1,4,140000,840
2,2,110000,826
2,7,185000,840
1,5,135000,840
2,3,180000,124
1,12,195000,36
2,8,165000,840
1,15,198000,840
2,4,150000,840
1,9,162000,36
1,6,175000,156
2,13,197000,840
1,7,142000,840
2,4,182000,36
1,11,185000,156
2,8,170000,36
1,4,160000,36
1,8,180000,36
2,6,150000,840
1,5,140000,124
1,2,100000,156
2,11,190000,826
1,4,160000,156
1,3,120000,826
2,7,170000,840
1,9,190000,124
2,5,150000,36
2,3,120000,826
1,7,170000,124
2,4,130000,156
1,2,95000,124
1,11,195000,840
1,2,100000,840
1,5,150000,826
1,3,120000,36
2,6,150000,840
1,8,180000,36
2,11,195000,36
1,4,160000,826
2,6,170000,124
1,5,140000,156
1,2,95000,840
2,5,150000,124
1,3,120000,840
1,8,180000,840
2,11,195000,36
1,2,100000,156
2,7,170000,826
1,4,160000,840
2,12,190000,840
1,9,190000,156
2,5,150000,124
1,3,120000,826
2,6,150000,124
1,8,180000,156
2,11,195000,840
1,2,95000,124
1,4,160000,124
2,2,100000,840
2,7,170000,826
1,9,190000,36
2,5,150000,124
1,3,120000,36
2,6,150000,826
1,8,180000,36
2,11,195000,156
1,2,95000,124
1,4,160000,36
2,2,100000,840
2,7,170000,826
1,9,190000,156
2,5,150000,124
1,3,120000,826
2,6,150000,36
1,8,180000,156
2,11,195000,156
1,2,95000,36
1,4,160000,826
2,2,100000,826
2,7,170000,124
1,9,190000,826
2,5,150000,826
1,3,120000,156
2,6,150000,826
1,8,180000,36
2,11,195000,124
1,2,95000,826
1,4,160000,156
2,2,100000,840
2,7,170000,124
1,9,190000,840
2,5,150000,124
1,3,120000,36
2,6,150000,840
1,8,180000,840
2,11,195000,36
1,2,95000,124
1,4,160000,124
2,2,100000,156
2,7,170000,36
1,9,190000,840
2,5,150000,124
1,3,120000,156
2,6,150000,124
1,8,180000,36
2,11,195000,826
1,2,95000,124
1,4,160000,840
2,2,100000,156
2,7,170000,124
1,9,190000,124
2,5,150000,36
1,3,120000,826
2,6,150000,826
1,8,180000,826
2,11,195000,36
1,2,95000,124
1,4,160000,124
2,2,100000,124
2,7,170000,36
1,9,190000,840
2,5,150000,840
1,3,120000,826
2,6,150000,36
1,8,180000,840
2,11,195000,156
1,2,95000,840
1,4,160000,36
2,2,100000,36
2,7,170000,156
1,9,190000,124
2,5,150000,124
1,3,120000,826
2,6,150000,124
1,8,180000,840
2,11,195000,840
1,2,95000,156
1,4,160000,124
2,2,100000,124
2,7,170000,840
1,9,190000,826
2,5,150000,124
1,3,120000,826
2,6,150000,36
1,8,180000,36
2,11,195000,156
1,2,95000,124
1,4,160000,840
2,2,100000,156
2,7,170000,36
1,7,180000,124
2,5,120000,124
1,10,195000,124
1,4,160000,124
2,3,100000,840
1,8,190000,156
1,6,170000,124
2,9,185000,156
1,7,130000,36
2,12,190000,826
1,5,150000,156
2,6,150000,840
1,14,195000,840
1,3,110000,826
2,8,180000,156
1,9,185000,36
2,7,130000,156
1,10,190000,840
2,6,155000,36
1,12,195000,826
2,2,90000,826
1,8,185000,840
2,6,120000,826
1,9,180000,36
2,3,100000,124
1,10,195000,36
1,4,160000,124
2,5,125000,840
1,6,170000,826
2,9,185000,156
1,7,130000,124
2,12,190000,156
1,5,150000,826
2,6,150000,826
1,14,195000,156
1,3,110000,36
2,8,180000,840
1,9,185000,156
2,7,130000,840
1,10,190000,156
2,6,155000,156
1,12,195000,826
2,2,90000,840
1,8,185000,36
2,6,120000,36
1,9,180000,156
2,3,100000,840
1,10,195000,36
1,4,160000,36
2,5,125000,36
1,6,170000,36
2,9,185000,36
1,7,130000,36
2,12,190000,826
1,5,150000,124
2,6,150000,156
1,14,195000,36
1,3,110000,36
2,8,180000,156
1,9,185000,826
2,7,130000,156
1,10,190000,156
2,6,155000,156
1,12,195000,124
2,2,90000,36
1,8,185000,124
2,6,120000,124
1,9,180000,826
2,3,100000,826
1,10,195000,36
1,4,160000,124
2,5,125000,156
1,6,170000,124
2,9,185000,840
1,7,130000,36
2,12,190000,156
1,5,150000,840
2,6,150000,124
1,14,195000,36
1,3,110000,36
2,8,180000,826
1,9,185000,156
2,7,130000,124
1,10,190000,124
2,6,155000,826
1,12,195000,840
2,2,90000,124
1,8,185000,36
2,6,120000,826
1,9,180000,840
2,3,100000,826
1,10,195000,840
1,4,160000,840
2,5,125000,840
1,6,170000,124
2,9,185000,124
1,7,130000,124
2,12,190000,840
1,5,150000,36
2,6,150000,124
1,14,195000,840
1,3,110000,826
2,8,180000,156
1,9,185000,36
2,7,130000,36
1,10,190000,826
2,6,155000,36
1,12,195000,36
2,2,90000,826
1,8,185000,124
1,7,175000,840
1,18,190000,36
2,5,110000,156
1,16,195000,124
2,3,100000,826
1,1,60000,156
1,8,155000,36
2,12,175000,826
2,13,180000,826
1,4,95000,826
1,20,200000,826
1,11,165000,36
1,9,145000,826
1,19,195000,36
2,2,75000,840
2,3,90000,124
2,9,155000,826
1,5,115000,36
2,12,170000,124
2,16,190000,826
1,4,115000,840
1,14,180000,156
1,18,195000,156
1,7,140000,156
1,19,200000,826
2,2,70000,124
2,11,170000,124
2,14,185000,124
2,8,140000,156
1,15,185000,124
1,15,185000,36
1,15,180000,840
1,14,175000,156
1,2,70000,124
2,1,60000,124
1,20,200000,156
1,14,170000,36
2,11,165000,124
1,1,55000,36
1,17,190000,840
2,3,90000,156
2,5,105000,826
1,6,130000,156
2,16,185000,36
2,1,60000,124
1,17,195000,156
1,1,60000,840
1,8,150000,826
2,13,180000,840
2,12,170000,124
1,6,125000,124
1,15,185000,156
1,3,90000,826
1,3,80000,826
2,3,85000,36
1,16,190000,826
2,11,160000,124
1,19,200000,826
1,17,195000,124
1,18,195000,36
2,14,190000,36
2,3,95000,840
1,1,55000,826
1,13,185000,124
2,5,120000,124
1,16,195000,156
1,14,175000,156
2,2,75000,156
1,17,200000,826
2,12,160000,124
1,12,175000,840
1,2,70000,156
1,15,180000,826
2,1,60000,826
1,16,190000,36
1,5,120000,36
1,20,200000,840
1,14,185000,36
2,16,190000,124
1,18,195000,36
2,14,170000,156
1,1,55000,36
1,6,130000,156
1,14,180000,156
1,14,185000,36
1,1,55000,156
1,9,145000,124
2,12,170000,156
1,17,195000,826
2,10,155000,36
1,6,125000,840
2,14,180000,156
1,4,95000,156
2,11,170000,124
2,3,100000,840
1,14,175000,156
1,3,80000,826
1,18,195000,124
1,10,155000,124
1,6,125000,156
2,4,110000,826
2,6,130000,840
1,16,190000,826
1,20,200000,124
1,19,200000,36
1,9,150000,826
1,7,140000,826
2,17,195000,156
1,17,195000,826
2,1,55000,36
1,15,185000,840
2,5,120000,840
2,16,190000,124
2,6,130000,156
2,16,190000,840
1,6,130000,156
1,7,140000,826
1,2,70000,36
1,11,170000,840
1,17,190000,124
1,3,80000,36
1,14,180000,826
2,2,70000,826
1,14,185000,156
2,1,55000,840
2,8,140000,826
2,14,170000,124
1,6,130000,156
1,13,180000,840
1,4,95000,840
2,2,70000,826
1,12,165000,124
1,13,185000,156
1,7,140000,826
1,1,60000,36
2,3,80000,36
1,9,150000,156
2,14,185000,36
1,2,70000,124
2,3,90000,840
1,12,170000,840
1,14,170000,840
1,16,190000,124
2,2,70000,840
1,15,185000,124
1,12,170000,124
2,3,100000,124
1,10,155000,156
2,12,170000,36
1,18,195000,36
1,15,185000,124
1,2,70000,840
1,16,190000,156
1,7,140000,36
1,1,60000,124
1,16,190000,826
1,14,180000,156
1,6,130000,124
1,14,170000,840
1,12,165000,36
1,13,185000,826
1,6,130000,36
1,1,60000,840
2,11,170000,156
1,7,140000,156
2,4,110000,36
1,2,70000,840
1,9,145000,826
1,16,190000,840
1,17,200000,156
1,3,80000,124
1,4,95000,840
2,3,100000,840
1,17,195000,36
1,15,185000,156
1,10,155000,124
1,18,195000,840
1,6,125000,840
1,17,195000,124
1,7,140000,826
1,14,170000,156
1,11,170000,124
1,9,150000,36
2,1,60000,840
1,2,70000,36
1,14,170000,36
2,1,55000,840
2,3,80000,826
1,13,185000,124
1,7,140000,156
1,13,180000,826
2,2,70000,156
1,15,185000,826
1,16,190000,36
2,6,130000,36
2,4,110000,156
1,14,180000,156
1,9,145000,840
1,14,170000,156
1,12,165000,156
1,7,140000,124
1,17,195000,156
1,10,155000,840
1,16,190000,36
1,17,195000,124
1,6,130000,156
2,3,85000,826
1,18,200000,156
1,8,140000,840
1,2,65000,826
1,16,190000,36
1,6,120000,124
1,3,80000,840
2,3,90000,840
1,16,190000,840
1,18,200000,36
1,16,190000,826
2,4,110000,124
1,14,180000,156
2,2,65000,36
1,14,185000,840
2,1,55000,36
1,7,130000,124
1,16,190000,156
2,5,120000,36
2,10,155000,36
1,16,190000,840
2,3,100000,36
1,9,150000,156
2,12,170000,840
1,3,80000,36
1,10,155000,826
1,17,195000,840
1,15,185000,840
1,2,70000,36
1,16,190000,156
1,7,140000,840
1,1,55000,840
1,16,190000,36
1,14,180000,124
1,6,130000,840
1,14,170000,840
1,12,165000,826
1,13,185000,156
1,6,130000,156
1,1,60000,840
2,11,170000,36
1,7,140000,36
2,4,110000,124
1,2,70000,156
1,9,145000,124
1,16,190000,156
1,17,200000,124
1,3,80000,124
1,4,95000,826
2,3,100000,826
1,17,195000,826
1,15,185000,840
1,10,155000,840
1,18,195000,156
1,6,125000,156
1,17,195000,156
1,7,140000,124
1,14,170000,36
1,11,170000,36
1,9,150000,124
2,1,60000,36
1,2,70000,826
1,14,170000,36
2,1,55000,826
2,3,80000,36
1,13,185000,156
1,7,140000,36
1,13,180000,36
2,2,70000,124
1,15,185000,826
1,16,190000,124
1,6,125000,124
1,12,160000,826
1,8,140000,156
1,17,195000,36
1,2,70000,840
1,2,70000,826
1,11,170000,124
1,13,185000,156
1,17,195000,124
1,6,130000,840
1,10,155000,156
1,15,185000,36
1,3,80000,826
1,17,195000,156
1,7,135000,36
1,1,55000,124
1,16,190000,36
2,2,70000,156
1,13,185000,36
1,11,170000,36
1,9,150000,156
1,17,195000,124
1,2,70000,826
1,17,195000,840
1,6,125000,156
1,15,185000,36
2,2,70000,826
1,10,155000,36
1,3,80000,124
1,13,185000,156
1,16,190000,124
1,11,170000,124
1,17,195000,156
1,9,150000,826
1,2,70000,156
2,2,70000,840
1,15,185000,826
1,7,135000,36
1,3,80000,124
1,17,195000,826
1,10,155000,36
1,11,170000,826
1,13,185000,124
1,2,70000,124
1,16,190000,124
1,6,125000,840
1,17,195000,36
1,9,150000,124
1,2,70000,826
2,2,70000,156
1,5,95000,124
2,12,170000,36
1,2,75000,36
2,18,210000,156
1,7,135000,840
1,12,160000,156
1,1,55000,840
1,16,190000,826
2,11,165000,826
2,3,80000,124
1,6,120000,36
1,15,185000,826
1,13,185000,124
1,16,190000,826
1,8,140000,124
1,6,130000,826
2,2,70000,124
1,11,170000,124
1,6,125000,156
1,10,155000,840
1,2,70000,840
1,17,195000,36
1,7,140000,156
1,6,130000,840
